year,crops,irr,nat_yield,scenario,region_code,irr_label
42,barley_spring,1,6.588376489737452,control,Control,Irrigated
42,barley_spring,2,3.1756155359205094,control,Control,Dry
42,corn_grain,1,7.683873474384905,control,Control,Irrigated
42,corn_grain,2,7.42380044450018,control,Control,Dry
42,corn_silage,1,29.655441032642848,control,Control,Irrigated
42,corn_silage,2,22.482747644797385,control,Control,Dry
42,cotton_upland,1,0.8696151658054387,control,Control,Irrigated
42,cotton_upland,2,0.9864189698123377,control,Control,Dry
42,hay_alfalfa,1,10.360526035161143,control,Control,Irrigated
42,hay_alfalfa,2,4.360134855750344,control,Control,Dry
42,hay_non_alfalfa,1,5.253318216757498,control,Control,Irrigated
42,hay_non_alfalfa,2,4.465669970221126,control,Control,Dry
42,oats_fall,2,1.2311766771261,control,Control,Dry
42,oats_spring,1,3.433392917025241,control,Control,Irrigated
42,oats_spring,2,2.1622855994746106,control,Control,Dry
42,potatoes_fall,1,49.74091864322847,control,Control,Irrigated
42,potatoes_summer,2,25.37234018255271,control,Control,Dry
42,rice,1,6.473160704324564,control,Control,Irrigated
42,soybeans,1,2.654592456280633,control,Control,Irrigated
42,soybeans,2,2.0963475852904367,control,Control,Dry
42,sugarbeets,1,60.90229965406758,control,Control,Irrigated
42,wheat_durum,2,2.4765483637362875,control,Control,Dry
42,wheat_spring,1,4.411786641727089,control,Control,Irrigated
42,wheat_spring,2,3.5762244794824944,control,Control,Dry
42,wheat_winter,1,3.277119253423157,control,Control,Irrigated
42,wheat_winter,2,2.869534109126595,control,Control,Dry
43,barley_spring,1,6.60995310940569,control,Control,Irrigated
43,barley_spring,2,3.177324809267914,control,Control,Dry
43,corn_grain,1,7.695505303128477,control,Control,Irrigated
43,corn_grain,2,7.456880894569322,control,Control,Dry
43,corn_silage,1,29.57091418716779,control,Control,Irrigated
43,corn_silage,2,22.617661653106545,control,Control,Dry
43,cotton_upland,1,0.8803365274517516,control,Control,Irrigated
43,cotton_upland,2,0.9904824066877378,control,Control,Dry
43,hay_alfalfa,1,10.367198406876536,control,Control,Irrigated
43,hay_alfalfa,2,4.338128899232679,control,Control,Dry
43,hay_non_alfalfa,1,5.255607051009778,control,Control,Irrigated
43,hay_non_alfalfa,2,4.456626040955068,control,Control,Dry
43,oats_fall,2,1.2420023574715944,control,Control,Dry
43,oats_spring,1,3.436832044185966,control,Control,Irrigated
43,oats_spring,2,2.1606482628731207,control,Control,Dry
43,potatoes_fall,1,50.00780692066067,control,Control,Irrigated
43,potatoes_summer,2,25.517540743355212,control,Control,Dry
43,rice,1,6.49485718930462,control,Control,Irrigated
43,soybeans,1,2.662588344231775,control,Control,Irrigated
43,soybeans,2,2.106466073667261,control,Control,Dry
43,sugarbeets,1,61.89616472830889,control,Control,Irrigated
43,wheat_durum,2,2.4478236943751126,control,Control,Dry
43,wheat_spring,1,4.428826329038611,control,Control,Irrigated
43,wheat_spring,2,3.567470777388172,control,Control,Dry
43,wheat_winter,1,3.1811193547289753,control,Control,Irrigated
43,wheat_winter,2,2.887181815193114,control,Control,Dry
44,barley_spring,1,6.587954561669939,control,Control,Irrigated
44,barley_spring,2,3.1824140082636787,control,Control,Dry
44,corn_grain,1,7.717620169531814,control,Control,Irrigated
44,corn_grain,2,7.477524752345703,control,Control,Dry
44,corn_silage,1,30.102444356654956,control,Control,Irrigated
44,corn_silage,2,22.894429327092737,control,Control,Dry
44,cotton_upland,1,0.877052621895863,control,Control,Irrigated
44,cotton_upland,2,0.9808995896208975,control,Control,Dry
44,hay_alfalfa,1,10.364654406228166,control,Control,Irrigated
44,hay_alfalfa,2,4.341374292954236,control,Control,Dry
44,hay_non_alfalfa,1,5.2551870800748794,control,Control,Irrigated
44,hay_non_alfalfa,2,4.441881087616831,control,Control,Dry
44,oats_fall,2,1.327048895214373,control,Control,Dry
44,oats_spring,1,3.440514506741872,control,Control,Irrigated
44,oats_spring,2,2.195551610890056,control,Control,Dry
44,potatoes_fall,1,49.862498152096244,control,Control,Irrigated
44,potatoes_summer,2,26.362594789425774,control,Control,Dry
44,rice,1,6.537903330604966,control,Control,Irrigated
44,soybeans,1,2.6642105633898847,control,Control,Irrigated
44,soybeans,2,2.136517481597535,control,Control,Dry
44,sugarbeets,1,61.56638257405211,control,Control,Irrigated
44,wheat_durum,2,2.4532370800004046,control,Control,Dry
44,wheat_spring,1,4.442148904775662,control,Control,Irrigated
44,wheat_spring,2,3.5771788370624082,control,Control,Dry
44,wheat_winter,1,3.423771176074461,control,Control,Irrigated
44,wheat_winter,2,3.0990434408669456,control,Control,Dry
45,barley_spring,1,6.6040751848798465,control,Control,Irrigated
45,barley_spring,2,3.1771765559230944,control,Control,Dry
45,corn_grain,1,7.683375043989581,control,Control,Irrigated
45,corn_grain,2,7.442395980912579,control,Control,Dry
45,corn_silage,1,29.465424656626848,control,Control,Irrigated
45,corn_silage,2,22.441804281090622,control,Control,Dry
45,cotton_upland,1,0.8683460479643,control,Control,Irrigated
45,cotton_upland,2,0.9862642694392735,control,Control,Dry
45,hay_alfalfa,1,10.359789390288164,control,Control,Irrigated
45,hay_alfalfa,2,4.347240206763627,control,Control,Dry
45,hay_non_alfalfa,1,5.252749173010183,control,Control,Irrigated
45,hay_non_alfalfa,2,4.428284059815567,control,Control,Dry
45,oats_fall,2,1.1561212001916,control,Control,Dry
45,oats_spring,1,3.428530855775365,control,Control,Irrigated
45,oats_spring,2,2.1537321628454196,control,Control,Dry
45,potatoes_fall,1,49.89540396860477,control,Control,Irrigated
45,potatoes_summer,2,25.535747152968227,control,Control,Dry
45,rice,1,6.483814944060055,control,Control,Irrigated
45,soybeans,1,2.656313108247921,control,Control,Irrigated
45,soybeans,2,2.0888034523603616,control,Control,Dry
45,sugarbeets,1,61.13368947116783,control,Control,Irrigated
45,wheat_durum,2,2.4898718663914523,control,Control,Dry
45,wheat_spring,1,4.3994409219426895,control,Control,Irrigated
45,wheat_spring,2,3.5760828592402256,control,Control,Dry
45,wheat_winter,1,3.241032627873965,control,Control,Irrigated
45,wheat_winter,2,2.7853285121907936,control,Control,Dry
46,barley_spring,1,6.608170545791437,control,Control,Irrigated
46,barley_spring,2,3.180242715907333,control,Control,Dry
46,corn_grain,1,7.69946345844294,control,Control,Irrigated
46,corn_grain,2,7.469569580795075,control,Control,Dry
46,corn_silage,1,29.51696031408398,control,Control,Irrigated
46,corn_silage,2,22.628562376512278,control,Control,Dry
46,cotton_upland,1,0.8873885260100333,control,Control,Irrigated
46,cotton_upland,2,0.9855639216976683,control,Control,Dry
46,hay_alfalfa,1,10.364586601874075,control,Control,Irrigated
46,hay_alfalfa,2,4.351207737376996,control,Control,Dry
46,hay_non_alfalfa,1,5.254418842921629,control,Control,Irrigated
46,hay_non_alfalfa,2,4.464315187578617,control,Control,Dry
46,oats_fall,2,0.9996474534552242,control,Control,Dry
46,oats_spring,1,3.4337239868859157,control,Control,Irrigated
46,oats_spring,2,2.1654792928360265,control,Control,Dry
46,potatoes_fall,1,50.05251165203978,control,Control,Irrigated
46,potatoes_summer,2,25.748514287769762,control,Control,Dry
46,rice,1,6.5226441268669255,control,Control,Irrigated
46,soybeans,1,2.6644897059290065,control,Control,Irrigated
46,soybeans,2,2.157304948745264,control,Control,Dry
46,sugarbeets,1,61.52954789913309,control,Control,Irrigated
46,wheat_durum,2,2.436657384700104,control,Control,Dry
46,wheat_spring,1,4.417000666179321,control,Control,Irrigated
46,wheat_spring,2,3.569980905866316,control,Control,Dry
46,wheat_winter,1,3.110999407435359,control,Control,Irrigated
46,wheat_winter,2,2.6396822689408657,control,Control,Dry
47,barley_spring,1,6.593354739054442,control,Control,Irrigated
47,barley_spring,2,3.178135731783862,control,Control,Dry
47,corn_grain,1,7.679940399398889,control,Control,Irrigated
47,corn_grain,2,7.462196438500275,control,Control,Dry
47,corn_silage,1,29.660876761229652,control,Control,Irrigated
47,corn_silage,2,22.579180835650906,control,Control,Dry
47,cotton_upland,1,0.8635012769527628,control,Control,Irrigated
47,cotton_upland,2,0.9873125783400925,control,Control,Dry
47,hay_alfalfa,1,10.357081791990595,control,Control,Irrigated
47,hay_alfalfa,2,4.355332755444051,control,Control,Dry
47,hay_non_alfalfa,1,5.2522642688520635,control,Control,Irrigated
47,hay_non_alfalfa,2,4.443670190489438,control,Control,Dry
47,oats_fall,2,1.280119582336451,control,Control,Dry
47,oats_spring,1,3.4320107332185485,control,Control,Irrigated
47,oats_spring,2,2.1615194745346185,control,Control,Dry
47,potatoes_fall,1,49.899347987015396,control,Control,Irrigated
47,potatoes_summer,2,25.62466039564432,control,Control,Dry
47,rice,1,6.479125725627261,control,Control,Irrigated
47,soybeans,1,2.653221294207601,control,Control,Irrigated
47,soybeans,2,2.153457959301969,control,Control,Dry
47,sugarbeets,1,60.46649476623402,control,Control,Irrigated
47,wheat_durum,2,2.4632282634711533,control,Control,Dry
47,wheat_spring,1,4.403528344871868,control,Control,Irrigated
47,wheat_spring,2,3.576694001773098,control,Control,Dry
47,wheat_winter,1,3.3421829417126743,control,Control,Irrigated
