commodity_desc,source_desc,year,asd_code,AREA_HARVESTED,AREA_PLANTED,PRODUCTION,Planted_Yield,YIELD,irr,fips,crops,dday-12,dday-11,dday-10,dday-9,dday-8,dday-7,dday-6,dday-5,dday-4,dday-3,dday-2,dday-1,dday0,dday1,dday2,dday3,dday4,dday5,dday6,dday7,dday8,dday9,dday10,dday11,dday12,dday13,dday14,dday15,dday16,dday17,dday18,dday19,dday20,dday21,dday22,dday23,dday24,dday25,dday26,dday27,dday28,dday29,dday30,dday31,dday32,dday33,dday34,dday35,dday36,dday37,dday38,dday39,dday40,dday41,fdday-20,fdday-19,fdday-18,fdday-17,fdday-16,fdday-15,fdday-14,fdday-13,fdday-12,fdday-11,fdday-10,fdday-9,fdday-8,fdday-7,fdday-6,fdday-5,fdday-4,fdday-3,fdday-2,fdday-1,fdday0,fdday1,fdday2,fdday3,fdday4,fdday5,fdday6,fdday7,fdday8,fdday9,fdday10,fdday11,fdday12,fdday13,fdday14,fdday15,fdday16,fdday17,fdday18,fdday19,fdday20,fdday21,fdday22,fdday23,fdday24,prec,tAvg,tMin,tMax,PI_10,PI_5,BIN_-12,BIN_-11,BIN_-10,BIN_-9,BIN_-8,BIN_-7,BIN_-6,BIN_-5,BIN_-4,BIN_-3,BIN_-2,BIN_-1,BIN_0,BIN_1,BIN_2,BIN_3,BIN_4,BIN_5,BIN_6,BIN_7,BIN_8,BIN_9,BIN_10,BIN_11,BIN_12,BIN_13,BIN_14,BIN_15,BIN_16,BIN_17,BIN_18,BIN_19,BIN_20,BIN_21,BIN_22,BIN_23,BIN_24,BIN_25,BIN_26,BIN_27,BIN_28,BIN_29,BIN_30,BIN_31,BIN_32,BIN_33,BIN_34,BIN_35,BIN_36,BIN_37,BIN_38,BIN_39,BIN_40,BIN_41,BIN_42,BIN_43,BIN_44,BIN_45,BIN_crops
RICE,SURVEY,1951,60,98000,,207500000,,2117,1,5001,RICE,6557.910056,6377.910058,6197.91006,6017.910062,5837.910063,5657.910065,5477.910067,5297.91007,5117.910072,4937.910073,4757.910076,4577.910078,4397.91008,4217.910082,4037.910143,3857.963273,3678.133005,3498.42251,3319.052736,3140.324896,2962.251712,2784.997442,2608.825017,2433.744679,2260.011828,2087.86805,1918.087418,1751.411705,1587.830108,1427.879486,1272.654949,1123.346795,981.3893698,847.2400783,722.056438,607.0986752,504.0664592,413.0951895,332.9502172,262.7857246,202.1774792,150.714589,107.8106064,72.91671528,45.68953776,25.88003157,12.81700198,5.47639844,2.026687512,0.740607249,0.167648762,0.007005502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.83E-05,0.05318678,0.222916517,0.512419738,1.142643509,2.414801842,4.341615618,7.087344153,10.91491671,15.834577,22.10172412,29.95794346,40.17731067,53.50159554,69.91999629,89.96937319,114.7448332,145.4366785,183.4792504,229.3299542,284.1463131,349.1885496,426.1563271,533.934541,24.43283384,2.4310513,38.768368,0.595739274,0.411789231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00294565,0.042760889,0.042969498,0.097002534,0.24535431,0.322288965,0.400662634,0.580682306,0.679675204,0.83406273,0.987939795,1.318480194,1.818739377,2.160691952,2.560903075,3.396922483,3.885347665,5.219007979,5.765255188,6.876043813,7.967771054,9.478238344,10.63556815,10.83052133,11.89999463,10.99458536,11.61110545,11.59447827,10.1777737,9.945938438,10.34595746,9.110337747,8.149592967,5.388182959,3.018857046,0.824519644,0.595182388,0.193658825,0,0,0,0,0,0,RICE
RICE,SURVEY,1951,90,6200,,12400000,,2000,1,5003,RICE,6671.543907,6491.543898,6311.54389,6131.543883,5951.543876,5771.543869,5591.543862,5411.543855,5231.543847,5051.543837,4871.54383,4691.543823,4511.543815,4331.543808,4151.543935,3971.546715,3791.59022,3611.89313,3432.607589,3253.729238,3075.552554,2898.105316,2721.262923,2545.298675,2370.679958,2197.565318,2026.375208,1857.688463,1691.671473,1529.007733,1370.704559,1217.940035,1071.691997,932.4832105,801.6662451,681.7685783,573.908949,477.372102,390.8437558,313.8510299,246.4077141,188.4692277,139.334386,98.6292469,65.72520349,40.70154379,22.75293394,11.2396598,4.971811788,2.085326465,0.781059029,0.202686113,0.008652771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000134566,0.002922461,0.046435246,0.349352829,1.063819924,2.185476089,4.008799505,6.561570321,9.719183537,13.75494399,19.1362339,26.02160288,34.83150116,46.1447638,60.12778039,77.4640487,99.16088207,126.3963664,160.1483321,200.9395521,250.1225988,310.2249396,382.3653175,523.9113277,25.06413229,3.792528,39.95122,0.634892696,0.43010259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055203703,0.1465933,0.170153521,0.284101625,0.40437332,0.418184914,0.470060387,0.729063227,0.8520914,1.085726957,1.484926492,1.710715629,2.146715804,2.725807144,3.592238017,4.467762932,5.172333451,6.085601844,7.55033825,8.735129461,9.970557286,9.855301433,10.59649502,11.46128573,12.10992994,11.16714104,11.27484778,10.04187299,10.70588541,9.407250609,9.134466846,7.282950722,4.901149619,2.083769951,0.938708535,0.505894176,0.27537154,0,0,0,0,0,RICE
RICE,SURVEY,1951,90,10000,,20500000,,2050,1,5017,RICE,6689.186827,6509.186817,6329.186808,6149.186799,5969.186788,5789.186779,5609.18677,5429.186761,5249.18675,5069.18674,4889.186732,4709.186723,4529.186713,4349.186704,4169.186694,3989.189655,3809.260994,3629.493588,3450.103708,3271.114009,3092.704776,2915.00441,2737.935247,2561.7614,2386.856677,2213.329021,2041.512996,1872.252706,1705.584967,1542.160564,1383.001608,1229.255531,1081.945468,941.5913677,809.5245936,688.1732529,579.0281193,481.445342,394.0431196,316.2375403,247.984111,189.2849829,139.4999196,98.17145059,64.81252303,39.36812851,21.27851197,9.732100843,3.757591457,1.348014778,0.393178195,0.058826434,0.000196356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00297004,0.07431861,0.306923162,0.917052653,1.927362842,3.518140229,5.81778381,8.748630168,12.57479291,17.67008005,24.14243291,32.32641873,43.06613844,56.39840889,72.97401529,93.81506976,120.0690024,152.7589456,192.4048565,240.3380908,298.9867595,369.8416367,481.2540917,25.16214842,3.2748501,39.229496,0.622083794,0.40736798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009485349,0.043060023,0.119012902,0.159799739,0.256657763,0.358022544,0.406693456,0.487448801,0.684317233,0.826852168,0.988314867,1.448174243,1.67864264,2.095222876,2.639153936,3.586767513,4.236103851,5.129551053,5.95065045,7.462673961,8.528370884,9.970465918,10.01992122,10.67015625,11.37729076,12.10682726,11.345299,10.9664604,10.60904049,10.75799293,9.801915438,9.068755341,7.976972065,5.410144748,1.625784321,0.81193331,0.386064292,0,0,0,0,0,0,RICE
RICE,SURVEY,1951,80,180,,490000,,2722,1,5019,RICE,6551.22701,6371.227012,6191.227014,6011.227017,5831.227019,5651.22702,5471.227022,5291.227026,5111.227027,4931.227029,4751.227031,4571.231962,4391.266144,4211.397527,4031.597296,3851.847962,3672.186332,3492.791634,3313.878561,3135.624137,2957.979094,2780.959622,2604.863434,2430.034079,2256.984901,2086.193774,1917.907257,1752.647384,1590.655737,1432.600522,1279.824256,1133.232252,993.4579158,860.956027,738.3001151,627.5886596,528.4796158,439.6629938,360.6532499,291.3138174,230.9080354,178.6192294,134.1100623,96.74404969,66.26054539,42.93135995,25.80117081,14.49891123,7.699429694,3.818780921,1.732897349,0.669628545,0.138173391,0.001093161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004928659,0.03910808,0.17048882,0.3702561,0.620919624,0.959287316,1.564587652,2.65151266,4.397086806,6.752040516,9.732566661,13.63637738,18.80701995,25.7578396,34.96671201,46.68019259,61.42031728,79.42866728,101.3734515,128.5971828,162.0051749,202.2308346,249.7289456,307.0730308,376.3615714,457.2525238,683.6335295,24.39570573,-0.43006143,40.845753,0.683889076,0.474003231,0,0,0,0,0,0,0,0,0,0,0,0,0.02988117,0.032203588,0.032363927,0.03261199,0.07707123,0.162260614,0.269993271,0.332336471,0.346610629,0.473976198,0.647060264,0.848420063,1.1953333,1.444652229,1.8196922,2.154484047,2.570985435,3.329520335,4.1895565,5.170364659,5.555128879,6.807772547,8.519293874,9.824285388,10.10170183,10.84861415,11.77250126,11.03541825,10.22943618,9.775472244,9.482013356,8.832734258,10.0602052,8.276504852,8.23798467,6.192600874,3.979491244,2.576627042,1.323433073,0.764980931,0.521540071,0.122881689,0,0,0,0,RICE
RICE,SURVEY,1951,30,6200,,12200000,,1968,1,5021,RICE,6285.915115,6105.915115,5925.915113,5745.915112,5565.915111,5385.91511,5205.915109,5025.915107,4845.915105,4665.915104,4485.915102,4305.915101,4125.924866,3946.025524,3766.220766,3586.492134,3407.057228,3228.12473,3049.840628,2872.48136,2696.129642,2520.928486,2347.131153,2175.265712,2005.925178,1839.324077,1675.584479,1515.080906,1358.741126,1207.751076,1063.474461,926.6654194,798.0301307,678.3089626,568.9248696,470.9543311,383.9465056,307.3199591,240.4233734,183.0407744,134.8420361,95.30176372,64.01559,39.97506367,22.26970405,10.8338057,4.674433664,1.951810425,0.788350101,0.237238936,0.010236601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009765195,0.11042445,0.30566806,0.577036632,1.142132197,2.209634386,3.925534418,6.566266815,10.21455041,15.0133954,21.21606323,29.35062443,40.0100911,53.40899157,69.66939376,89.16582225,112.8260423,141.8359946,177.5593811,220.75034,272.1150483,332.3938808,403.0097916,485.0392531,578.0314275,597.2597537,22.92175054,0.009058495,37.946228,0.667249765,0.465581915,0,0,0,0,0,0,0,0,0,0,0,0,0.019612264,0.040026891,0.040264508,0.074490696,0.208047725,0.241166642,0.449170158,0.522497794,0.660189101,0.833046682,1.052396208,1.46295855,1.764339868,2.054104041,2.41595606,2.953226323,3.573031056,4.620890709,5.317515311,6.098927508,7.18575713,9.108253223,9.186432678,9.72470288,10.9545416,11.20119868,11.74674099,11.41874927,11.23127361,11.02761141,9.878046604,8.359460474,8.767940422,7.475029053,4.715983554,1.972317816,0.868933757,0.473272058,0.301896696,0,0,0,0,0,0,0,RICE
RICE,SURVEY,1951,30,18600,,34400000,,1849,1,5031,RICE,6383.564233,6203.564225,6023.564216,5843.564207,5663.564199,5483.56419,5303.564182,5123.564173,4943.564164,4763.564155,4583.564146,4403.564138,4223.564129,4043.578302,3863.708088,3683.922493,3504.227897,3324.827778,3146.044775,2968.06741,2790.966071,2614.8807,2440.005726,2266.59955,2095.313204,1926.530347,1760.594921,1597.666677,1438.075939,1283.025264,1134.03975,992.5775097,858.9638244,733.7693988,618.1192675,513.7193795,421.2391755,339.7169531,268.3813466,206.5844774,153.9977695,110.5938859,75.73307433,48.50151382,28.32853377,14.48178321,6.089199121,2.35390124,0.800149163,0.17750039,0.003878349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014181354,0.1439767,0.3583901,0.663803248,1.263692344,2.480699057,4.503343076,7.402012795,11.31665104,16.44168489,23.03551905,31.74918156,42.96633235,57.03091546,74.10267966,94.51195141,119.4612859,150.475781,189.0135497,235.3998718,290.2054557,354.5553291,430.1554492,517.675253,539.8259391,23.46424514,0.8078994,37.973087,0.632335107,0.440890387,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028774187,0.04169511,0.042001421,0.092458929,0.201732218,0.365722446,0.450015345,0.533704121,0.710718482,0.84411215,1.19075083,1.514767645,1.871239518,2.218341782,2.585756433,3.09760431,3.88270448,5.168889476,5.664206224,6.525592755,8.001413769,9.161237455,10.13051288,11.08719138,11.26600235,11.30695376,11.31443882,11.68666442,11.43160866,10.25784489,9.518737887,8.880974621,7.127334549,6.901879723,2.866472269,1.215933321,0.601734772,0.212276622,0,0,0,0,0,0,0,RICE
RICE,SURVEY,1951,60,2000,,6400000,,3200,1,5035,RICE,6426.253962,6246.253965,6066.253969,5886.253973,5706.253977,5526.25398,5346.253984,5166.253988,4986.253992,4806.253995,4626.253999,4446.254003,4266.254007,4086.254181,3906.279616,3726.400719,3546.65432,3367.169914,3188.170861,3009.845888,2832.328574,2655.834921,2480.359317,2306.155659,2133.597906,1963.285842,1795.623429,1631.09123,1469.820404,1312.169841,1159.556514,1014.068207,876.6422211,747.7239557,628.4140356,520.3777044,424.9918613,341.4415128,268.6511216,205.9280135,152.5722632,108.3044922,72.68391385,44.8987946,24.77038006,11.66401203,4.469099839,1.526176516,0.434745263,0.038698563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000170373,0.025602298,0.146701155,0.400298078,0.915889172,1.916832258,3.5918558,6.07453809,9.580881543,14.10527379,19.9016128,27.34385477,37.0317878,49.36937246,64.83716915,83.56633852,105.9157715,133.3024429,167.8141314,210.3881406,261.4698707,322.1599472,394.123613,478.7377637,543.2327611,23.70141111,1.8626928,37.31316,0.603622459,0.395817302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02872448,0.045211846,0.087168849,0.17478822,0.320754324,0.38966954,0.557312244,0.620949703,0.772985128,0.992649444,1.346061724,1.698552245,2.17694991,2.491399673,2.774984595,3.325127348,4.809137071,5.562792209,6.542139328,7.668057198,8.84331004,10.61254819,11.25951874,11.77188799,12.15208123,11.38146727,11.60740686,11.57634332,10.08484089,10.79007971,9.640907459,7.851548147,6.219611632,2.482214135,0.779892431,0.560926878,0,0,0,0,0,0,0,0,RICE
RICE,SURVEY,1951,60,39700,,71700000,,1806,1,5037,RICE,6394.04514,6214.045141,6034.045142,5854.045142,5674.045143,5494.045144,5314.045144,5134.045145,4954.045146,4774.045146,4594.045147,4414.045148,4234.0452,4054.069746,3874.209037,3694.45092,3514.876476,3335.675047,3157.120949,2979.288581,2802.364878,2626.467348,2451.632124,2278.059241,2106.272982,1937.312894,1771.143551,1607.82629,1447.695746,1291.528563,1141.239016,998.5059548,863.8129119,737.7434929,621.1528185,515.5407408,422.3672617,340.3475712,268.7457372,206.8367705,154.0765999,110.0810486,74.71940426,47.06040157,26.94998379,13.47176988,5.249666429,1.753410772,0.43022748,0.039649547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99E-05,0.02459536,0.163885687,0.405767673,0.831321725,1.629891974,3.075793608,5.24342421,8.319720257,12.4221897,17.58696472,24.01408036,32.22782044,43.26773124,57.09838713,73.78112525,93.65058024,117.4833972,147.1938485,184.4607882,229.767739,283.6983198,347.1076445,421.495567,508.3220859,626.3153124,23.52247305,0.7008901,37.3671,0.642107553,0.417590729,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032853976,0.041248356,0.072204682,0.116347233,0.259752258,0.350897108,0.462286426,0.583604647,0.659919554,0.812763794,0.963111093,1.520371285,1.856689064,2.095558522,2.521640607,2.922996366,3.557335636,5.044626114,5.904880582,6.650176412,7.502224117,8.809215847,10.67084899,10.99037698,11.78965486,11.43198863,11.42375416,11.28735036,11.47618108,9.994132096,10.51732593,9.075692109,7.312827472,6.761447457,2.704137104,1.263722848,0.559856236,0,0,0,0,0,0,0,0,RICE
RICE,SURVEY,1951,90,10100,,20200000,,2000,1,5041,RICE,6591.377216,6411.377219,6231.377221,6051.377223,5871.377225,5691.377227,5511.37723,5331.377232,5151.377234,4971.377236,4791.377238,4611.37724,4431.377242,4251.377244,4071.378813,3891.428469,3711.597367,3531.932314,3352.654142,3173.911344,2995.727833,2818.20272,2641.438573,2465.774937,2291.491215,2118.769553,1948.057879,1780.144425,1615.228794,1453.937826,1297.355444,1146.531502,1002.808677,866.738146,739.4632624,623.1261749,519.2184913,426.9179821,345.093223,272.9740303,210.3481449,157.0982379,112.4538053,75.74070446,47.02627346,26.15646406,12.49834159,5.095368701,1.844177847,0.601848828,0.12725556,0.012112325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001566463,0.05122066,0.220116837,0.555061629,1.276887531,2.534087435,4.350574422,6.825459029,10.06130997,14.39767208,20.11394786,27.39228445,36.6806073,48.76715188,63.85151931,82.56055026,105.9781656,135.1542216,171.4313904,215.3608568,268.0859723,331.7488816,407.841198,459.5464834,24.6187625,2.4296222,38.577343,0.582862378,0.37768556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002759119,0.039233482,0.056255052,0.111953365,0.226772274,0.26928258,0.370412928,0.406149062,0.577556986,0.750771915,0.929310514,1.207883178,1.58776368,1.960455187,2.357701335,3.041667088,3.942460258,4.746099655,5.842108283,6.517152162,7.618403522,9.440641479,10.37012004,11.30879413,11.13403962,11.54242014,11.84501287,11.16688717,10.18754726,10.80353415,10.66351599,10.00266601,9.013781778,5.543630899,2.922950108,0.925722992,0.502248315,0.064335424,0,0,0,0,0,0,RICE
RICE,SURVEY,1951,90,5950,,12500000,,2101,1,5043,RICE,6614.773426,6434.773421,6254.773418,6074.773414,5894.77341,5714.773406,5534.773401,5354.773396,5174.773392,4994.773389,4814.773385,4634.773381,4454.773376,4274.773372,4094.773423,3914.796658,3734.928293,3555.279605,3376.066421,3197.337028,3019.194939,2841.66419,2664.722574,2488.859958,2314.407481,2141.569902,1970.89882,1803.108742,1638.360513,1477.371081,1320.972968,1170.584645,1027.163895,891.0824467,763.9004017,647.8737806,543.8342283,450.6517238,367.3924097,293.4422229,228.8887528,173.7865397,127.3920705,88.7564852,57.83202559,34.50200423,18.11305383,7.995185062,3.065832073,1.110038858,0.293314186,0.028104548,0.000717766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.50E-05,0.023294192,0.154933181,0.506250496,1.293070634,2.563681282,4.421597695,6.890852139,9.949240523,14.08662959,19.63415661,26.79658135,36.12550504,48.33543136,63.58720607,82.5977781,106.1996702,135.8113518,172.390603,216.3091575,269.1271197,333.1005024,409.0609523,492.8502457,24.74874106,2.748,39.29098,0.579994263,0.376783018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02805855,0.055826401,0.135367951,0.215445603,0.268075998,0.351077562,0.367764786,0.502910305,0.707944664,0.937472248,1.146291385,1.569452016,1.910364714,2.383953438,2.864819549,3.771222103,4.828068954,5.458111545,6.562603551,7.803470539,9.132109498,9.92654127,10.66618312,10.71626459,11.70095243,11.81277032,11.38262704,9.838597309,10.21052624,10.44533187,9.539296796,8.738840951,7.64049605,3.874751431,1.395825939,0.802493124,0.308090163,0,0,0,0,0,0,RICE
